ID,m00,m10,m01,cx,cy,mu20,mu02,mu11,Circularity,IsCircleLike
1,24.0000,269.0000,12.0000,11.2083,0.5000,307.9583,10.0000,16.5000,0.2883,NO
2,5.0000,436.0000,5.0000,87.2000,1.0000,2.8000,2.0000,1.0000,0.8289,NO
3,2.0000,285.0000,0.0000,142.5000,0.0000,0.5000,0.0000,0.0000,1.2732,NO
4,1.0000,167.0000,0.0000,167.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NO
5,31.0000,5842.0000,68.0000,188.4516,2.1935,131.6774,96.8387,74.2903,0.6693,NO
6,68.0000,16627.0000,304.0000,244.5147,4.4706,390.9853,438.9412,-100.4706,0.8867,YES
7,90556.0000,31338515.0000,21671382.0000,346.0678,239.3147,1529048018.8230,2044289259.6710,236546260.0549,0.3652,NO
8,27.0000,8846.0000,43.0000,327.6296,1.5926,100.2963,44.5185,21.9259,0.8012,NO
9,27.0000,13604.0000,36.0000,503.8519,1.3333,145.4074,28.0000,-15.6667,0.6691,NO
10,136.0000,71261.0000,493.0000,523.9779,3.6250,4308.9338,1187.8750,582.8750,0.5355,NO
11,327.0000,189558.0000,1072.0000,579.6881,3.2783,71674.1835,2217.6758,-497.6147,0.2303,NO
12,189.0000,119728.0000,661.0000,633.4815,3.4974,12575.1852,1365.2487,1087.7407,0.4078,NO
13,1.0000,666.0000,0.0000,666.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NO
14,1214.0000,914249.0000,9904.0000,753.0881,8.1582,730337.5692,36903.6343,32330.0774,0.3057,NO
15,75.0000,60588.0000,168.0000,807.8400,2.2400,1286.0800,207.6800,-62.1200,0.5993,NO
16,2.0000,1668.0000,1.0000,834.0000,0.5000,0.0000,0.5000,0.0000,1.2732,NO
17,2069.0000,1819508.0000,24371.0000,879.4142,11.7791,1443472.0222,115464.0580,-113828.7061,0.4370,NO
18,2.0000,1851.0000,0.0000,925.5000,0.0000,0.5000,0.0000,0.0000,1.2732,NO
19,6.0000,5707.0000,10.0000,951.1667,1.6667,2.8333,7.3333,-3.6667,0.5636,NO
20,30691.0000,27753356.0000,8140479.0000,904.2832,265.2399,106517938.3381,978191975.0815,51619949.4411,0.1382,NO
21,171.0000,187699.0000,777.0000,1097.6550,4.5439,9548.6433,1768.4211,-2301.9123,0.4112,NO
22,155.0000,173199.0000,1111.0000,1117.4129,7.1677,10899.5742,4129.6387,-5530.7355,0.2544,NO
23,7.0000,8025.0000,6.0000,1146.4286,0.8571,5.7143,4.8571,-1.5714,0.7377,NO
24,6.0000,6901.0000,6.0000,1150.1667,1.0000,2.8333,4.0000,0.0000,0.8385,NO
25,1.0000,1159.0000,0.0000,1159.0000,0.0000,0.0000,0.0000,0.0000,0.0000,NO
26,17.0000,19723.0000,40.0000,1160.1765,2.3529,158.4706,45.8824,-82.0588,0.2251,NO
27,23.0000,27573.0000,8.0000,1198.8261,0.3478,323.3043,5.2174,-2.6087,0.2563,NO
28,805.0000,1002536.0000,4611.0000,1245.3863,5.7280,364002.8497,11715.4211,4589.6075,0.2745,NO
29,1.0000,459.0000,1.0000,459.0000,1.0000,0.0000,0.0000,0.0000,0.0000,NO
30,532.0000,252324.0000,7520.0000,474.2932,14.1353,82254.2556,16758.2556,-15125.1128,0.4549,NO
31,2.0000,1943.0000,2.0000,971.5000,1.0000,0.5000,0.0000,0.0000,1.2732,NO
32,2.0000,2305.0000,2.0000,1152.5000,1.0000,0.5000,0.0000,0.0000,1.2732,NO
33,1.0000,1157.0000,1.0000,1157.0000,1.0000,0.0000,0.0000,0.0000,0.0000,NO
34,1.0000,144.0000,2.0000,144.0000,2.0000,0.0000,0.0000,0.0000,0.0000,NO
35,1.0000,833.0000,2.0000,833.0000,2.0000,0.0000,0.0000,0.0000,0.0000,NO
36,2.0000,1939.0000,4.0000,969.5000,2.0000,0.5000,0.0000,0.0000,1.2732,NO
37,1.0000,1012.0000,2.0000,1012.0000,2.0000,0.0000,0.0000,0.0000,0.0000,NO
38,2.0000,2287.0000,4.0000,1143.5000,2.0000,0.5000,0.0000,0.0000,1.2732,NO
39,2.0000,2311.0000,4.0000,1155.5000,2.0000,0.5000,0.0000,0.0000,1.2732,NO
40,1.0000,607.0000,3.0000,607.0000,3.0000,0.0000,0.0000,0.0000,0.0000,NO
41,11876.0000,7892069.0000,1368691.0000,664.5393,115.2485,22699074.6362,31837527.7227,-2583099.5422,0.4116,NO
42,1.0000,972.0000,3.0000,972.0000,3.0000,0.0000,0.0000,0.0000,0.0000,NO
43,1.0000,1011.0000,3.0000,1011.0000,3.0000,0.0000,0.0000,0.0000,0.0000,NO
44,1.0000,1133.0000,3.0000,1133.0000,3.0000,0.0000,0.0000,0.0000,0.0000,NO
45,2.0000,2283.0000,6.0000,1141.5000,3.0000,0.5000,0.0000,0.0000,1.2732,NO
46,1.0000,1145.0000,3.0000,1145.0000,3.0000,0.0000,0.0000,0.0000,0.0000,NO
47,1.0000,1149.0000,3.0000,1149.0000,3.0000,0.0000,0.0000,0.0000,0.0000,NO
48,2.0000,2307.0000,6.0000,1153.5000,3.0000,0.5000,0.0000,0.0000,1.2732,NO
49,8.0000,4828.0000,38.0000,603.5000,4.7500,10.0000,3.5000,-3.0000,0.7545,NO
50,1.0000,971.0000,4.0000,971.0000,4.0000,0.0000,0.0000,0.0000,0.0000,NO
51,4.0000,3990.0000,18.0000,997.5000,4.5000,1.0000,1.0000,0.0000,1.2732,NO
52,2.0000,2279.0000,8.0000,1139.5000,4.0000,0.5000,0.0000,0.0000,1.2732,NO
53,2.0000,2287.0000,8.0000,1143.5000,4.0000,0.5000,0.0000,0.0000,1.2732,NO
54,1.0000,1147.0000,4.0000,1147.0000,4.0000,0.0000,0.0000,0.0000,0.0000,NO
55,31.0000,35406.0000,270.0000,1142.1290,8.7097,1055.4839,228.3871,-484.8387,0.1191,NO
56,1.0000,157.0000,5.0000,157.0000,5.0000,0.0000,0.0000,0.0000,0.0000,NO
57,9.0000,4560.0000,53.0000,506.6667,5.8889,20.0000,4.8889,6.6667,0.5180,NO
58,7.0000,6760.0000,45.0000,965.7143,6.4286,7.4286,5.7143,4.8571,0.5934,NO
59,3.0000,2907.0000,15.0000,969.0000,5.0000,2.0000,0.0000,0.0000,0.7162,NO
60,1.0000,1002.0000,5.0000,1002.0000,5.0000,0.0000,0.0000,0.0000,0.0000,NO
61,1.0000,1107.0000,5.0000,1107.0000,5.0000,0.0000,0.0000,0.0000,0.0000,NO
62,1.0000,1138.0000,5.0000,1138.0000,5.0000,0.0000,0.0000,0.0000,0.0000,NO
